,Square/Suffix/,Premise Address,Owner Name,Neighborhood,Sub-Neighborhood,Use Code,Sale Price,Recordation Date,2020 Total Assessment,new_adress,location,point,latitude,longitude,altitude
269,5812 0123,HUNTER PL SE,COMCAST CABLEVISION OF THE DISTRICT LLC,BARRY FARMS,,193.0,70000.0,2001-08-14 00:00:00,105270,"HUNTER PL SE, DC, United States","Hunter Place Southeast, Anacostia, Washington, District of Columbia, 20020, United States of America","(38.8591701, -76.9847884, 0.0)",38.8591701,-76.9847884,0.0
270,5812 0124,2260 HUNTER PL SE,MARIA L OMONTE,BARRY FARMS,,93.0,80000.0,2019-05-15 00:00:00,80000,"2260 HUNTER PL SE, DC, United States","2260, Hunter Place Southeast, Hillsdale, Washington, District of Columbia, 20020, United States of America","(38.8584340835724, -76.9862045386988, 0.0)",38.8584340835724,-76.9862045386988,0.0
271,5812 0126,2233 HUNTER PL SE,NEW UNITED BAPTIST CHURCH,BARRY FARMS,,81.0,0.0,2000-09-20 00:00:00,1996430,"2233 HUNTER PL SE, DC, United States","New United Christian Academy, 2233, Hunter Place Southeast, Anacostia, Washington, District of Columbia, 20020, United States of America","(38.8594, -76.9849, 0.0)",38.8594,-76.9849,0.0
272,5812 0127,2200-2210 HUNTER PL SE,MANNA INC,BARRY FARMS,,91.0,0.0,2018-06-28 00:00:00,121940,"2200-2210 HUNTER PL SE, DC, United States","2200, Hunter Place Southeast, Anacostia, Washington, District of Columbia, 20020, United States of America","(38.859668, -76.984086, 0.0)",38.859668,-76.984086,0.0
273,5812 0128,2200-2210 HUNTER PL SE,MANNA INC,BARRY FARMS,,91.0,0.0,2018-06-28 00:00:00,118790,"2200-2210 HUNTER PL SE, DC, United States","2200, Hunter Place Southeast, Anacostia, Washington, District of Columbia, 20020, United States of America","(38.859668, -76.984086, 0.0)",38.859668,-76.984086,0.0
274,5812 0129,2200-2210 HUNTER PL SE,MANNA INC,BARRY FARMS,,91.0,0.0,2018-06-28 00:00:00,118790,"2200-2210 HUNTER PL SE, DC, United States","2200, Hunter Place Southeast, Anacostia, Washington, District of Columbia, 20020, United States of America","(38.859668, -76.984086, 0.0)",38.859668,-76.984086,0.0
275,5812 0130,2200-2210 HUNTER PL SE,MANNA INC,BARRY FARMS,,91.0,0.0,2018-06-28 00:00:00,118790,"2200-2210 HUNTER PL SE, DC, United States","2200, Hunter Place Southeast, Anacostia, Washington, District of Columbia, 20020, United States of America","(38.859668, -76.984086, 0.0)",38.859668,-76.984086,0.0
276,5812 0131,2200-2210 HUNTER PL SE,MANNA INC,BARRY FARMS,,91.0,0.0,2018-06-28 00:00:00,118790,"2200-2210 HUNTER PL SE, DC, United States","2200, Hunter Place Southeast, Anacostia, Washington, District of Columbia, 20020, United States of America","(38.859668, -76.984086, 0.0)",38.859668,-76.984086,0.0
277,5812 0132,2200-2210 HUNTER PL SE,ORAMENTA GARDENS HOMEOWNERS ASSOCIATION INC,BARRY FARMS,,93.0,0.0,2020-01-14 00:00:00,10,"2200-2210 HUNTER PL SE, DC, United States","2200, Hunter Place Southeast, Anacostia, Washington, District of Columbia, 20020, United States of America","(38.859668, -76.984086, 0.0)",38.859668,-76.984086,0.0
278,5812 0133,2200-2210 HUNTER PL SE,MANNA INC,BARRY FARMS,,91.0,0.0,2018-06-28 00:00:00,118790,"2200-2210 HUNTER PL SE, DC, United States","2200, Hunter Place Southeast, Anacostia, Washington, District of Columbia, 20020, United States of America","(38.859668, -76.984086, 0.0)",38.859668,-76.984086,0.0
279,5812 0134,2200-2210 HUNTER PL SE,MANNA INC,BARRY FARMS,,91.0,0.0,2018-06-28 00:00:00,118790,"2200-2210 HUNTER PL SE, DC, United States","2200, Hunter Place Southeast, Anacostia, Washington, District of Columbia, 20020, United States of America","(38.859668, -76.984086, 0.0)",38.859668,-76.984086,0.0
280,5812 0135,2200-2210 HUNTER PL SE,MANNA INC,BARRY FARMS,,91.0,0.0,2018-06-28 00:00:00,124100,"2200-2210 HUNTER PL SE, DC, United States","2200, Hunter Place Southeast, Anacostia, Washington, District of Columbia, 20020, United States of America","(38.859668, -76.984086, 0.0)",38.859668,-76.984086,0.0
281,5812 0136,2200-2210 HUNTER PL SE,MANNA INC,BARRY FARMS,,91.0,0.0,2018-06-28 00:00:00,121570,"2200-2210 HUNTER PL SE, DC, United States","2200, Hunter Place Southeast, Anacostia, Washington, District of Columbia, 20020, United States of America","(38.859668, -76.984086, 0.0)",38.859668,-76.984086,0.0
282,5812 0137,2200-2210 HUNTER PL SE,MANNA INC,BARRY FARMS,,91.0,0.0,2018-06-28 00:00:00,118760,"2200-2210 HUNTER PL SE, DC, United States","2200, Hunter Place Southeast, Anacostia, Washington, District of Columbia, 20020, United States of America","(38.859668, -76.984086, 0.0)",38.859668,-76.984086,0.0
283,5812 0138,2200-2210 HUNTER PL SE,MANNA INC,BARRY FARMS,,91.0,0.0,2018-06-28 00:00:00,115540,"2200-2210 HUNTER PL SE, DC, United States","2200, Hunter Place Southeast, Anacostia, Washington, District of Columbia, 20020, United States of America","(38.859668, -76.984086, 0.0)",38.859668,-76.984086,0.0
284,5812 0139,2200-2210 HUNTER PL SE,MANNA INC,BARRY FARMS,,91.0,0.0,2018-06-28 00:00:00,130640,"2200-2210 HUNTER PL SE, DC, United States","2200, Hunter Place Southeast, Anacostia, Washington, District of Columbia, 20020, United States of America","(38.859668, -76.984086, 0.0)",38.859668,-76.984086,0.0
285,5812 0800,2258 HUNTER PL SE,WILLIAM R DAY,BARRY FARMS,,12.0,25007.0,2014-09-19 00:00:00,308810,"2258 HUNTER PL SE, DC, United States","2258, Hunter Place Southeast, Anacostia, Washington, District of Columbia, 20020, United States of America","(38.8587313, -76.9849866244663, 0.0)",38.8587313,-76.9849866244663,0.0
286,5812 0803,1464 MORRIS RD SE,GEORGE G EATMON,BARRY FARMS,,12.0,0.0,1999-05-20 00:00:00,289370,"1464 MORRIS RD SE, DC, United States","1464, Morris Road Southeast, Washington, District of Columbia, 20020, United States of America","(38.85901, -76.98579588046684, 0.0)",38.85901,-76.98579588046684,0.0
287,5812 0804,1490 MORRIS RD SE,FRED A GAMBLE JR,BARRY FARMS,,12.0,310000.0,2018-08-10 00:00:00,275440,"1490 MORRIS RD SE, DC, United States","1490, Morris Road Southeast, Washington, District of Columbia, 20020, United States of America","(38.85844915, -76.98497793788162, 0.0)",38.85844915,-76.98497793788162,0.0
288,5812 0805,2248 HUNTER PL SE,RALPH E JACKSON,BARRY FARMS,,12.0,0.0,2005-04-06 00:00:00,310440,"2248 HUNTER PL SE, DC, United States","2248, Hunter Place Southeast, Anacostia, Washington, District of Columbia, 20020, United States of America","(38.858923250000004, -76.9847957312449, 0.0)",38.858923250000004,-76.9847957312449,0.0
289,5812 0806,2231 HUNTER PL SE,JOANN BANKS,BARRY FARMS,,12.0,0.0,2001-12-17 00:00:00,497800,"2231 HUNTER PL SE, DC, United States","2231, Hunter Place Southeast, Anacostia, Washington, District of Columbia, 20020, United States of America","(38.85956395, -76.98471402134678, 0.0)",38.85956395,-76.98471402134678,0.0
290,5812 0807,2257 HUNTER PL SE,ELWOOD B NELSON,BARRY FARMS,,12.0,0.0,,320270,"2257 HUNTER PL SE, DC, United States","2257, Hunter Place Southeast, Anacostia, Washington, District of Columbia, 20020, United States of America","(38.8589915, -76.98532718971398, 0.0)",38.8589915,-76.98532718971398,0.0
291,5812 0808,1470 MORRIS RD SE,BERNADETTE C WATERS,BARRY FARMS,,12.0,0.0,,224980,"1470 MORRIS RD SE, DC, United States","1470, Morris Road Southeast, Washington, District of Columbia, 20020, United States of America","(38.8588956, -76.98564206114023, 0.0)",38.8588956,-76.98564206114023,0.0
292,5812 2001,2201 HUNTER PL SE Unit: 101,FAY Y INGRAM,BARRY FARMS,,16.0,217500.0,2006-06-09 00:00:00,149290,"2201 HUNTER PL SE Unit: 101, DC, United States",,,,,
293,5812 2002,2201 HUNTER PL SE Unit: 102,DAMION S MOORE,BARRY FARMS,,16.0,219080.0,2006-06-09 00:00:00,149290,"2201 HUNTER PL SE Unit: 102, DC, United States",,,,,
294,5812 2003,2201 HUNTER PL SE Unit: 103,GUILLERMO PATINO,BARRY FARMS,,16.0,237500.0,2006-04-19 00:00:00,185020,"2201 HUNTER PL SE Unit: 103, DC, United States",,,,,
295,5812 2004,2201 HUNTER PL SE Unit: 104,PATRICE JOHNSON,BARRY FARMS,,16.0,235000.0,2006-05-24 00:00:00,185020,"2201 HUNTER PL SE Unit: 104, DC, United States",,,,,
296,5812 2005,2201 HUNTER PL SE Unit: 201,BOALLAR-DC LLC,BARRY FARMS,,16.0,121000.0,2019-12-16 00:00:00,149290,"2201 HUNTER PL SE Unit: 201, DC, United States",,,,,
297,5812 2006,2201 HUNTER PL SE Unit: 202,ANACOSTIA RISING LLC,BARRY FARMS,,16.0,63525.0,2019-04-15 00:00:00,149290,"2201 HUNTER PL SE Unit: 202, DC, United States",,,,,
298,5812 2007,2201 HUNTER PL SE Unit: 203,SHANTE KINZIE UNIT 203,BARRY FARMS,,16.0,249500.0,2006-03-23 00:00:00,185020,"2201 HUNTER PL SE Unit: 203, DC, United States",,,,,
299,5812 2008,2201 HUNTER PL SE Unit: 204,ABIODUN RAMROOP,BARRY FARMS,,16.0,140000.0,2018-10-29 00:00:00,185020,"2201 HUNTER PL SE Unit: 204, DC, United States",,,,,
300,5812 2009,2201 HUNTER PL SE Unit: 301,TRACEY ROY,BARRY FARMS,,16.0,222500.0,2006-03-31 00:00:00,149290,"2201 HUNTER PL SE Unit: 301, DC, United States",,,,,
301,5812 2010,2201 HUNTER PL SE Unit: 302,CHRISTINA METCALF,BARRY FARMS,,16.0,189000.0,2020-04-02 00:00:00,149290,"2201 HUNTER PL SE Unit: 302, DC, United States",,,,,
302,5812 2011,2201 HUNTER PL SE Unit: 303,ALESHIA DUNCAN UNIT 303,BARRY FARMS,,16.0,255000.0,2006-03-23 00:00:00,185020,"2201 HUNTER PL SE Unit: 303, DC, United States",,,,,
303,5812 2012,2201 HUNTER PL SE Unit: 304,TIFFANY ARMSTRONG UNIT 304,BARRY FARMS,,16.0,250000.0,2006-04-03 00:00:00,185020,"2201 HUNTER PL SE Unit: 304, DC, United States",,,,,
304,5812 2013,2215 HUNTER PL SE Unit: 101,MARGARY ROGERS,BARRY FARMS,,16.0,209500.0,2006-01-20 00:00:00,149290,"2215 HUNTER PL SE Unit: 101, DC, United States",,,,,
305,5812 2014,2215 HUNTER PL SE Unit: 102,DEYSI N MOYA,BARRY FARMS,,16.0,110000.0,2020-03-13 00:00:00,149290,"2215 HUNTER PL SE Unit: 102, DC, United States",,,,,
306,5812 2015,2215 HUNTER PL SE Unit: 103,WONDER TWINS HOLDINGS LLC,BARRY FARMS,,16.0,55000.0,2019-02-26 00:00:00,149420,"2215 HUNTER PL SE Unit: 103, DC, United States",,,,,
307,5812 2016,2215 HUNTER PL SE Unit: 104,JE NEIL OLLIVIERRA,BARRY FARMS,,16.0,41190.0,2012-06-27 00:00:00,128920,"2215 HUNTER PL SE Unit: 104, DC, United States",,,,,
308,5812 2017,2215 HUNTER PL SE Unit: 201,DARREN MARCUS SR,BARRY FARMS,,16.0,230000.0,2006-02-08 00:00:00,149290,"2215 HUNTER PL SE Unit: 201, DC, United States",,,,,
309,5812 2018,2215 HUNTER PL SE Unit: 202,LISA MARSH,BARRY FARMS,,16.0,0.0,2009-03-03 00:00:00,149290,"2215 HUNTER PL SE Unit: 202, DC, United States",,,,,
310,5812 2019,2215 HUNTER PL SE Unit: 203,JOY A ARNOLD,BARRY FARMS,,16.0,212500.0,2006-02-08 00:00:00,149420,"2215 HUNTER PL SE Unit: 203, DC, United States",,,,,
311,5812 2020,2215 HUNTER PL SE Unit: 204,J2 -2215 HUNTER 204 LLC JULIA PARK,BARRY FARMS,,16.0,95000.0,2018-01-11 00:00:00,149420,"2215 HUNTER PL SE Unit: 204, DC, United States",,,,,
312,5812 2021,2215 HUNTER PL SE Unit: 301,ARI B HEARD,BARRY FARMS,,16.0,110000.0,2018-11-02 00:00:00,149290,"2215 HUNTER PL SE Unit: 301, DC, United States",,,,,
313,5812 2022,2215 HUNTER PL SE Unit: 302,FIDELIS OHIRL UNIT 302,BARRY FARMS,,16.0,222500.0,2006-01-09 00:00:00,149290,"2215 HUNTER PL SE Unit: 302, DC, United States",,,,,
314,5812 2023,2215 HUNTER PL SE Unit: 303,TERSHANDA HUFF,BARRY FARMS,,16.0,222500.0,2006-01-05 00:00:00,149420,"2215 HUNTER PL SE Unit: 303, DC, United States",,,,,
315,5812 2024,2215 HUNTER PL SE Unit: 304,ANACOSTIA RISING LLC,BARRY FARMS,,16.0,97499.0,2020-02-21 00:00:00,149670,"2215 HUNTER PL SE Unit: 304, DC, United States",,,,,
316,5860 0096,2431 SHANNON PL SE,REVIVAL TEMPLE CHURCH INC,BARRY FARMS,,81.0,0.0,,2069980,"2431 SHANNON PL SE, DC, United States","Revival Temple Full Gospel Church, 2431, Shannon Place Southeast, Hillsdale, Anacostia, Washington, District of Columbia, 20020, United States of America","(38.863045400000004, -76.99458237931623, 0.0)",38.863045400000004,-76.99458237931623,0.0
317,5860 0097,0632 HOWARD RD SE,"9 HOWARD RD LLC, HOWARD RD LLC, 700 & 730 HOWARD RD LLC",BARRY FARMS,,49.0,0.0,,6375070,"0632 HOWARD RD SE, DC, United States","632, Howard Road Southeast, Hillsdale, Washington, District of Columbia, 20020, United States of America","(38.86515788143236, -77.00099704745219, 0.0)",38.86515788143236,-77.00099704745219,0.0
318,5860 0839,HOWARD RD SE,DEPT OF HOUSING AND COMMUNITY DEVELOPMENT SE,BARRY FARMS,,191.0,1554000.0,2014-10-10 00:00:00,57550,"HOWARD RD SE, DC, United States","Howard Road Southeast, Hillsdale, Washington, District of Columbia, 20020, United States of America","(38.8633086, -76.9964696, 0.0)",38.8633086,-76.9964696,0.0
319,5860 0897,SHANNON PL SE,DEPT OF HOUSING AND COMMUNITY DEVELOPMENT SE,BARRY FARMS,,191.0,1554000.0,2014-10-10 00:00:00,25970,"SHANNON PL SE, DC, United States","Shannon Place Southeast, Hillsdale, Anacostia, Washington, District of Columbia, 20020, United States of America","(38.8635257, -76.9929314, 0.0)",38.8635257,-76.9929314,0.0
320,5860 0906,1006 HOWARD RD SE,DEPT OF HOUSING AND COMMUNITY DEVELOPMENT SE,BARRY FARMS,,191.0,1554000.0,2014-10-10 00:00:00,143550,"1006 HOWARD RD SE, DC, United States","1006, Howard Road Southeast, Hillsdale, Washington, District of Columbia, 20020, United States of America","(38.86291612244898, -76.99601473469389, 0.0)",38.86291612244898,-76.99601473469389,0.0
321,5860 0908,HOWARD RD SE,DEPT OF HOUSING AND COMMUNITY DEVELOPMENT SE,BARRY FARMS,,191.0,1554000.0,2014-10-10 00:00:00,159790,"HOWARD RD SE, DC, United States","Howard Road Southeast, Hillsdale, Washington, District of Columbia, 20020, United States of America","(38.8633086, -76.9964696, 0.0)",38.8633086,-76.9964696,0.0
322,5860 0910,HOWARD RD SE,DEPT OF HOUSING AND COMMUNITY DEVELOPMENT SE,BARRY FARMS,,191.0,1554000.0,2014-10-10 00:00:00,500,"HOWARD RD SE, DC, United States","Howard Road Southeast, Hillsdale, Washington, District of Columbia, 20020, United States of America","(38.8633086, -76.9964696, 0.0)",38.8633086,-76.9964696,0.0
323,5860 0937,SE,UNITED STATES OF AMERICA,BARRY FARMS,,191.0,0.0,,1463580,"SE, DC, United States","Southeast, Washington, District of Columbia, 20003, United States of America","(38.8806677, -76.9899756, 0.0)",38.8806677,-76.9899756,0.0
324,5860 0938,0600 HOWARD RD SE,DISTRICT OF COLUMBIA,BARRY FARMS,,89.0,0.0,,1587230,"0600 HOWARD RD SE, DC, United States","600, Howard Road Southeast, Hillsdale, Washington, District of Columbia, 20020, United States of America","(38.865163, -77.001026, 0.0)",38.865163,-77.001026,0.0
325,5860 0948,1004 HOWARD RD SE,DEPT OF HOUSING AND COMMUNITY DEVELOPMENT SE,BARRY FARMS,,191.0,1554000.0,2014-10-10 00:00:00,443520,"1004 HOWARD RD SE, DC, United States","1004, Howard Road Southeast, Hillsdale, Washington, District of Columbia, 20020, United States of America","(38.86291567346939, -76.99601404081633, 0.0)",38.86291567346939,-76.99601404081633,0.0
326,5860 0952,1018 HOWARD RD SE,DEPT OF HOUSING AND COMMUNITY DEVELOPMENT SE,BARRY FARMS,,191.0,1554000.0,2014-10-10 00:00:00,404640,"1018 HOWARD RD SE, DC, United States","1018, Howard Road Southeast, Hillsdale, Washington, District of Columbia, 20020, United States of America","(38.862918816326534, -76.99601889795919, 0.0)",38.862918816326534,-76.99601889795919,0.0
327,5860 0959,2433 SHANNON PL SE,2433 SHANNON PLACE LLC,BARRY FARMS,,21.0,0.0,2015-07-13 00:00:00,867510,"2433 SHANNON PL SE, DC, United States","2433, Shannon Place Southeast, Hillsdale, Anacostia, Washington, District of Columbia, 20020, United States of America","(38.86284835, -76.99473929257601, 0.0)",38.86284835,-76.99473929257601,0.0
328,5860 0960,SE,DISTRICT OF COLUMBIA,BARRY FARMS,,191.0,0.0,,1218230,"SE, DC, United States","Southeast, Washington, District of Columbia, 20003, United States of America","(38.8806677, -76.9899756, 0.0)",38.8806677,-76.9899756,0.0
329,5860 0969,SE,UNITED STATES OF AMERICA,BARRY FARMS,,191.0,0.0,,251790,"SE, DC, United States","Southeast, Washington, District of Columbia, 20003, United States of America","(38.8806677, -76.9899756, 0.0)",38.8806677,-76.9899756,0.0
330,5860 0971,SE,UNITED STATES OF AMERICA,BARRY FARMS,,191.0,0.0,,471280,"SE, DC, United States","Southeast, Washington, District of Columbia, 20003, United States of America","(38.8806677, -76.9899756, 0.0)",38.8806677,-76.9899756,0.0
331,5860 1025,0764 HOWARD RD SE,822 HOWARD ROAD LLC,BARRY FARMS,,23.0,2850000.0,2014-08-18 00:00:00,249660,"0764 HOWARD RD SE, DC, United States","764, Howard Road Southeast, Hillsdale, Washington, District of Columbia, 20020, United States of America","(38.86465353291355, -76.99929552816499, 0.0)",38.86465353291355,-76.99929552816499,0.0
332,5860 1026,0760 HOWARD RD SE,822 HOWARD ROAD LLC,BARRY FARMS,,23.0,2850000.0,2014-08-18 00:00:00,229460,"0760 HOWARD RD SE, DC, United States","760, Howard Road Southeast, Hillsdale, Washington, District of Columbia, 20020, United States of America","(38.864674261540394, -76.99937898341916, 0.0)",38.864674261540394,-76.99937898341916,0.0
333,5860 1027,0756 HOWARD RD SE,752 HOWARD ROAD LLC,BARRY FARMS,,191.0,328194.0,2013-10-18 00:00:00,342580,"0756 HOWARD RD SE, DC, United States",,,,,
334,5860 1028,0752 HOWARD RD SE,752 HOWARD ROAD LLC,BARRY FARMS,,191.0,328194.0,2013-10-18 00:00:00,207270,"0752 HOWARD RD SE, DC, United States","752, Howard Road Southeast, Hillsdale, Washington, District of Columbia, 20020, United States of America","(38.864715753515426, -76.99954588508162, 0.0)",38.864715753515426,-76.99954588508162,0.0
335,5860 1029,0748 HOWARD RD SE,752 HOWARD ROAD LLC,BARRY FARMS,,23.0,375000.0,2014-06-13 00:00:00,372430,"0748 HOWARD RD SE, DC, United States","748, Howard Road Southeast, Hillsdale, Washington, District of Columbia, 20020, United States of America","(38.86473748343838, -76.99962908523707, 0.0)",38.86473748343838,-76.99962908523707,0.0
336,5860 1030,0744 HOWARD RD SE,752 HOWARD ROAD LLC,BARRY FARMS,,191.0,525000.0,2017-05-02 00:00:00,220010,"0744 HOWARD RD SE, DC, United States",,,,,
337,5860 1031,0740 HOWARD RD SE,752 HOWARD ROAD LLC,BARRY FARMS,,191.0,525000.0,2017-08-10 00:00:00,225100,"0740 HOWARD RD SE, DC, United States","740, Howard Road Southeast, Hillsdale, Washington, District of Columbia, 20020, United States of America","(38.8647809432843, -76.99979548554799, 0.0)",38.8647809432843,-76.99979548554799,0.0
338,5860 1034,1014 HOWARD RD SE,DEPT OF HOUSING AND COMMUNITY DEVELOPMENT SE,BARRY FARMS,,191.0,1554000.0,2014-10-10 00:00:00,191860,"1014 HOWARD RD SE, DC, United States","1014, Howard Road Southeast, Hillsdale, Washington, District of Columbia, 20020, United States of America","(38.86291791836735, -76.99601751020408, 0.0)",38.86291791836735,-76.99601751020408,0.0
339,5860 1035,1010 HOWARD RD SE,DEPT OF HOUSING AND COMMUNITY DEVELOPMENT SE,BARRY FARMS,,191.0,1554000.0,2014-10-10 00:00:00,282680,"1010 HOWARD RD SE, DC, United States","1010, Howard Road Southeast, Hillsdale, Washington, District of Columbia, 20020, United States of America","(38.86291702040816, -76.99601612244898, 0.0)",38.86291702040816,-76.99601612244898,0.0
340,5860 1036,0822 HOWARD RD SE,822 HOWARD ROAD LLC,BARRY FARMS,,92.0,2850000.0,2014-08-18 00:00:00,725890,"0822 HOWARD RD SE, DC, United States",,,,,
341,5860 1037,0822 HOWARD RD SE,822 HOWARD ROAD LLC,BARRY FARMS,,92.0,2850000.0,2014-08-18 00:00:00,1892750,"0822 HOWARD RD SE, DC, United States",,,,,
342,5860 1038,FIRTH STERLING AV SE,WASHINGTON METROPOLITAN AREA TRANSIT AUTHORITY (WMATA),BARRY FARMS,,191.0,0.0,,601590,"FIRTH STERLING AV SE, DC, United States","Firth Sterling Avenue Southeast, Southeast, Washington, District of Columbia, 20020, United States of America","(38.8623807, -76.9976917, 0.0)",38.8623807,-76.9976917,0.0
343,5860 1039,0805 HOWARD RD SE,WMATA,BARRY FARMS,,63.0,0.0,,628080,"0805 HOWARD RD SE, DC, United States","805, Howard Road Southeast, Hillsdale, Washington, District of Columbia, 20020, United States of America","(38.864231736438626, -76.99831422227871, 0.0)",38.864231736438626,-76.99831422227871,0.0
344,5860 1040,0805 HOWARD RD SE,WMATA,BARRY FARMS,,63.0,0.0,,128620,"0805 HOWARD RD SE, DC, United States","805, Howard Road Southeast, Hillsdale, Washington, District of Columbia, 20020, United States of America","(38.864231736438626, -76.99831422227871, 0.0)",38.864231736438626,-76.99831422227871,0.0
345,5860 1041,0805 HOWARD RD SE,NATIONAL PARK SERVICE,BARRY FARMS,,63.0,0.0,,316540,"0805 HOWARD RD SE, DC, United States","805, Howard Road Southeast, Hillsdale, Washington, District of Columbia, 20020, United States of America","(38.864231736438626, -76.99831422227871, 0.0)",38.864231736438626,-76.99831422227871,0.0
346,5861 0059,1023 HOWARD RD SE,WMATA,BARRY FARMS,,191.0,0.0,,476300,"1023 HOWARD RD SE, DC, United States","1023, Howard Road Southeast, Hillsdale, Washington, District of Columbia, 20020, United States of America","(38.86291993877551, -76.99602063265307, 0.0)",38.86291993877551,-76.99602063265307,0.0
347,5861 0082,809 HOWARD RD SE,809 HOWARD ROAD LLC,BARRY FARMS,,11.0,880000.0,2016-05-23 00:00:00,177660,"809 HOWARD RD SE, DC, United States","809, Howard Road Southeast, Hillsdale, Washington, District of Columbia, 20020, United States of America","(38.864062700000005, -76.9982583533058, 0.0)",38.864062700000005,-76.9982583533058,0.0
348,5861 0083,811 HOWARD RD SE,809 HOWARD ROAD LLC,BARRY FARMS,,11.0,880000.0,2016-05-23 00:00:00,174000,"811 HOWARD RD SE, DC, United States","811, Howard Road Southeast, Hillsdale, Washington, District of Columbia, 20020, United States of America","(38.864045450000006, -76.99821172175507, 0.0)",38.864045450000006,-76.99821172175507,0.0
349,5861 0084,813 HOWARD RD SE,809 HOWARD ROAD LLC,BARRY FARMS,,11.0,880000.0,2016-05-23 00:00:00,181590,"813 HOWARD RD SE, DC, United States","813, Howard Road Southeast, Hillsdale, Washington, District of Columbia, 20020, United States of America","(38.86403325, -76.99816093379354, 0.0)",38.86403325,-76.99816093379354,0.0
350,5861 0089,701 HOWARD RD SE,CEDAR TREE ACADEMY PUBLIC CHARTER SCHOOL,BARRY FARMS,,83.0,0.0,2015-10-26 00:00:00,11608460,"701 HOWARD RD SE, DC, United States","701, Howard Road Southeast, Hillsdale, Washington, District of Columbia, 20020, United States of America","(38.86405925, -76.99923117221587, 0.0)",38.86405925,-76.99923117221587,0.0
351,5861 0090,821 HOWARD RD SE,DISTRICT OF COLUMBIA,BARRY FARMS,,51.0,6350000.0,2002-10-03 00:00:00,8001990,"821 HOWARD RD SE, DC, United States","821, Howard Road Southeast, Hillsdale, Washington, District of Columbia, 20020, United States of America","(38.863927399999994, -76.99808104564106, 0.0)",38.863927399999994,-76.99808104564106,0.0
352,5861 0889,HOWARD RD SE,DISTRICT OF COLUMBIA,BARRY FARMS,,191.0,0.0,,100410,"HOWARD RD SE, DC, United States","Howard Road Southeast, Hillsdale, Washington, District of Columbia, 20020, United States of America","(38.8633086, -76.9964696, 0.0)",38.8633086,-76.9964696,0.0
353,5861 0891,HOWARD RD SE,DISTRICT OF COLUMBIA,BARRY FARMS,,191.0,0.0,,10000,"HOWARD RD SE, DC, United States","Howard Road Southeast, Hillsdale, Washington, District of Columbia, 20020, United States of America","(38.8633086, -76.9964696, 0.0)",38.8633086,-76.9964696,0.0
354,5861 0893,HOWARD RD SE,DISTRICT OF COLUMBIA,BARRY FARMS,,191.0,0.0,,18130,"HOWARD RD SE, DC, United States","Howard Road Southeast, Hillsdale, Washington, District of Columbia, 20020, United States of America","(38.8633086, -76.9964696, 0.0)",38.8633086,-76.9964696,0.0
355,5861 0895,HOWARD RD SE,DISTRICT OF COLUMBIA,BARRY FARMS,,191.0,0.0,,26110,"HOWARD RD SE, DC, United States","Howard Road Southeast, Hillsdale, Washington, District of Columbia, 20020, United States of America","(38.8633086, -76.9964696, 0.0)",38.8633086,-76.9964696,0.0
356,5861 0897,HOWARD RD SE,DISTRICT OF COLUMBIA,BARRY FARMS,,191.0,0.0,,46040,"HOWARD RD SE, DC, United States","Howard Road Southeast, Hillsdale, Washington, District of Columbia, 20020, United States of America","(38.8633086, -76.9964696, 0.0)",38.8633086,-76.9964696,0.0
357,5861 0899,HOWARD RD SE,DISTRICT OF COLUMBIA,BARRY FARMS,,191.0,0.0,,34530,"HOWARD RD SE, DC, United States","Howard Road Southeast, Hillsdale, Washington, District of Columbia, 20020, United States of America","(38.8633086, -76.9964696, 0.0)",38.8633086,-76.9964696,0.0
358,5861 0901,HOWARD RD SE,DISTRICT OF COLUMBIA,BARRY FARMS,,191.0,0.0,,32230,"HOWARD RD SE, DC, United States","Howard Road Southeast, Hillsdale, Washington, District of Columbia, 20020, United States of America","(38.8633086, -76.9964696, 0.0)",38.8633086,-76.9964696,0.0
359,5861 0903,HOWARD RD SE,DISTRICT OF COLUMBIA,BARRY FARMS,,191.0,0.0,,50430,"HOWARD RD SE, DC, United States","Howard Road Southeast, Hillsdale, Washington, District of Columbia, 20020, United States of America","(38.8633086, -76.9964696, 0.0)",38.8633086,-76.9964696,0.0
360,5861 0914,1119 HOWARD RD SE,WASHINGTON METROPOLITAN AREA TRANSIT AUTHORITY (WMATA),BARRY FARMS,,191.0,0.0,,341330,"1119 HOWARD RD SE, DC, United States","1119, Howard Road Southeast, Hillsdale, Washington, District of Columbia, 20020, United States of America","(38.86262683615364, -76.99557610360634, 0.0)",38.86262683615364,-76.99557610360634,0.0
361,5861 0918,HOWARD RD SE,WASHINGTON METROPOLITAN AREA TRANSIT AUTHORITY (WMATA),BARRY FARMS,,191.0,0.0,,521510,"HOWARD RD SE, DC, United States","Howard Road Southeast, Hillsdale, Washington, District of Columbia, 20020, United States of America","(38.8633086, -76.9964696, 0.0)",38.8633086,-76.9964696,0.0
362,5861 0920,HOWARD RD SE,WASHINGTON METROPOLITAN AREA TRANSIT AUTHORITY (WMATA),BARRY FARMS,,191.0,0.0,,116880,"HOWARD RD SE, DC, United States","Howard Road Southeast, Hillsdale, Washington, District of Columbia, 20020, United States of America","(38.8633086, -76.9964696, 0.0)",38.8633086,-76.9964696,0.0
